"player_id","full_name","price_af","pricechgavg","pricechg50","pricechg75","pricechg100","pricechg120","season","season_num","round_id"
"CD_I1019813","Caitlin Matthews",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1021464","Beth Pinchin",38700,-2700,6700,12100,17500,21700,2024,9,1
"CD_I1021945","Rebecca Ott",40500,-4200,6500,11900,17300,21600,2024,9,1
"CD_I1026218","Emmelie Fiedler",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I997669","Maddie Boyd",61800,-6400,4300,9700,15000,19300,2024,9,1
"CD_I998158","Stephanie Chiocci",70000,-7300,3400,8800,14200,18500,2024,9,1
"CD_I1007153","Catherine Phillips",72200,-7500,3200,8600,14000,18300,2024,9,1
"CD_I1014917","Lily-Rose Williamson",39800,-3800,6600,12000,17300,21600,2024,9,1
"CD_I1015174","Ashleigh Van Loon",58000,-6000,4700,10100,15400,19700,2024,9,1
"CD_I1015182","Mia Van Dyke",49600,-5200,5600,10900,16300,20600,2024,9,1
"CD_I1016869","Jacqui Vogt",120300,-12500,-1800,3600,9000,13200,2024,9,1
"CD_I1019705","Mia Busch",76100,-7900,2800,8200,13600,17900,2024,9,1
"CD_I1019762","Paige Scott",108200,-11300,-500,4800,10200,14500,2024,9,1
"CD_I1021527","Brooke Brown",99400,-10400,400,5800,11100,15400,2024,9,1
"CD_I1022685","Brooke Sheridan",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1023389","Chloe Adams",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1010658","Kristy Stratton",130700,-13600,-2900,2500,7900,12200,2024,9,1
"CD_I1014885","Bridget Deed",85900,-8900,1800,7200,12500,16800,2024,9,1
"CD_I1014984","Sophie Locke",47200,-4900,5800,11200,16600,20900,2024,9,1
"CD_I1019700","Mackenzie Eardley",96600,-10100,700,6000,11400,15700,2024,9,1
"CD_I1021819","Sophie Butterworth",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1021824","Hayley McLaughlin",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1022104","Tahlia Fellows",71800,-7500,3300,8600,14000,18300,2024,9,1
"CD_I1033156","Casey Dumont",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I296141","Louise Stephenson",76700,-8000,2800,8100,13500,17800,2024,9,1
"CD_I1005952","Hannah Dunn",73000,-7600,3100,8500,13900,18200,2024,9,1
"CD_I1011117","Alex Ballard",78200,-8100,2600,8000,13300,17600,2024,9,1
"CD_I1012253","Jasmin Stewart",99700,-10400,400,5700,11100,15400,2024,9,1
"CD_I1014624","Indy Tahau",89100,-9300,1500,6800,12200,16500,2024,9,1
"CD_I1019503","Hannah Ewings",95400,-9900,800,6200,11500,15800,2024,9,1
"CD_I1019509","Katelyn Pope",66300,-6900,3800,9200,14600,18900,2024,9,1
"CD_I1022248","Lauren Young",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1022728","Georgie Jaques",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1023950","Alissa Brook",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I1024293","Jasmine Simmons",65500,-6800,3900,9300,14700,19000,2024,9,1
"CD_I1035497","Jo Miller",36000,0,7000,12400,17700,22000,2024,9,1
"CD_I997678","Madeline Keryk",73300,-7600,3100,8500,13800,18100,2024,9,1
"CD_I1007523","Lisa Steane",90600,-9400,1300,6700,12000,16300,2024,9,1
"CD_I1009803","Alexia Hamilton",78500,-8200,2600,7900,13300,17600,2024,9,1
"CD_I1012705","Alana Woodward",54800,-5700,5000,10400,15800,20100,2024,9,1
"CD_I1012994","Bella R. Smith",72600,-7600,3200,8500,13900,18200,2024,9,1
"CD_I1014355","Paige Sheppard",93600,-9800,1000,6400,11700,16000,2024,9,1
"CD_I1022067","Aimee Whelan",99100,-10300,400,5800,11200,15500,2024,9,1
