"player_id","full_name","price_af","pricechgavg","pricechg50","pricechg75","pricechg100","pricechg120","season","round_id"
"CD_I297566","James Sicily",104500,-1500,-6000,-4000,-1900,-300,2024,-1
"CD_I993794","Blake Hardwick",81000,-1200,-3700,-1700,300,2000,2024,-1
"CD_I994077","Mabior Chol",50500,-900,-800,1200,3300,4900,2024,-1
"CD_I998114","Jack Scrimshaw",66500,-1000,-2300,-300,1700,3400,2024,-1
"CD_I998390","Changkuoth Jiath",62500,-1500,-2000,100,2100,3800,2024,-1
"CD_I1000937","Jack Henry",49500,-700,-700,1300,3400,5000,2024,-1
"CD_I1004870","Zach Guthrie",70100,-1100,-2700,-700,1400,3000,2024,-1
"CD_I1004938","Gryan Miers",75500,-1200,-3200,-1200,900,2500,2024,-1
"CD_I1005150","Emerson Jeka",32200,-3100,1000,3000,5100,6700,2024,-1
"CD_I1007102","Mark O'Connor",61900,-900,-1900,100,2200,3800,2024,-1
"CD_I1008825","Mitch Hardie",22200,-2100,1900,4000,6000,7700,2024,-1
"CD_I1009229","Sam De Koning",47900,-700,-500,1500,3500,5200,2024,-1
"CD_I1011633","James Willis",22200,-2100,1900,4000,6000,7700,2024,-1
"CD_I1011944","Joe Furphy",22200,-2100,1900,4000,6000,7700,2024,-1
"CD_I1012805","Tanner Bruhn",70700,-1000,-2800,-700,1300,3000,2024,-1
"CD_I1012860","Oliver Henry",55900,-800,-1300,700,2800,4400,2024,-1
"CD_I1013464","Lawson Humphries",22200,-2100,1900,4000,6000,7700,2024,-1
"CD_I1015889","Max Holmes",75900,-1100,-3300,-1200,800,2500,2024,-1
"CD_I1016433","Shannon Neale",37900,300,400,2500,4500,6100,2024,-1
"CD_I1017063","Toby Conway",35000,500,700,2700,4800,6400,2024,-1
"CD_I1019945","Phoenix Foster",22200,-2100,1900,4000,6000,7700,2024,-1
"CD_I1020881","Oliver Wiltshire",22200,-2100,1900,4000,6000,7700,2024,-1
"CD_I1021103","Mitch Knevitt",48200,-500,-600,1500,3500,5100,2024,-1
"CD_I1023537","Jhye Clark",26300,400,1500,3600,5600,7300,2024,-1
"CD_I1023542","Ted Clohesy",22200,-700,1900,4000,6000,7700,2024,-1
"CD_I1023681","George Stevens",22200,-2100,1900,4000,6000,7700,2024,-1
"CD_I1024304","Mitchell Edwards",22900,-2200,1900,3900,6000,7600,2024,-1
"CD_I1024982","Oisin Mullin",27100,-100,1500,3500,5600,7200,2024,-1
"CD_I1025034","Oliver Dempsey",27900,0,1400,3400,5500,7100,2024,-1
"CD_I1027852","Oscar Murdoch",22200,-2100,1900,4000,6000,7700,2024,-1
"CD_I1027877","Connor O'Sullivan",29900,-2900,1200,3200,5300,6900,2024,-1
"CD_I261510","Tom Hawkins",63000,-900,-2000,0,2100,3700,2024,-1
"CD_I270917","Patrick Dangerfield",79900,-1200,-3600,-1600,400,2100,2024,-1
"CD_I280317","Rhys Stanley",71300,-1100,-2800,-800,1300,2900,2024,-1
"CD_I281065","Mitch Duncan",91200,-1400,-4700,-2700,-600,1000,2024,-1
"CD_I290550","Cameron Guthrie",84400,-1100,-4100,-2000,0,1600,2024,-1
"CD_I291357","Gary Rohan",50200,-800,-800,1300,3300,5000,2024,-1
"CD_I291800","Tom Stewart",96300,-1500,-5200,-3200,-1100,500,2024,-1
"CD_I292511","Zach Tuohy",66600,-1000,-2400,-300,1700,3400,2024,-1
"CD_I293845","Jeremy Cameron",83000,-1200,-3900,-1900,100,1800,2024,-1
"CD_I293883","Jed Bews",40100,-600,200,2300,4300,5900,2024,-1
"CD_I296291","Jake Kolodjashnij",49300,-800,-700,1400,3400,5000,2024,-1
"CD_I296733","Mark Blicavs",81500,-1300,-3800,-1800,300,1900,2024,-1
"CD_I298419","Brandan Parfitt",74600,-2700,-3100,-1100,1000,2600,2024,-1
"CD_I993878","Shaun Mannagh",22200,-2100,1900,4000,6000,7700,2024,-1
"CD_I994386","Tom Atkins",79900,-1200,-3600,-1600,400,2100,2024,-1
"CD_I997230","Tyson Stengle",53900,-800,-1100,900,3000,4600,2024,-1
"CD_I998260","Jack Bowes",60700,-900,-1800,300,2300,3900,2024,-1
"CD_I999326","Brad Close",55900,-800,-1300,700,2800,4400,2024,-1
"CD_I1002227","Jack Higgins",63700,-900,-2100,0,2000,3600,2024,-1
"CD_I1002256","Paddy Dow",56700,-800,-1400,600,2700,4300,2024,-1
"CD_I1002264","Hunter Clark",67800,-1000,-2500,-400,1600,3300,2024,-1
